comparison_group,split,model,mean_euclidean_error,median_euclidean_error,rmse_x,rmse_y,max_euclidean_error,test_points,result_dir,note
dual_sensor_models_same_split,validation_inner6,improved_mlp,0.5773250453570512,0.4446272933841688,0.6622764175951878,0.285552895367966,1.9921549841499488,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_inner6/improved_mlp,reference improved MLP
dual_sensor_models_same_split,validation_inner6,plain_mlp,0.5726282870143825,0.4890597906395534,0.6411507651753174,0.2932983258445008,1.9144117189562448,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_inner6/plain_mlp,
dual_sensor_models_same_split,validation_inner6,grnn,4.032274350976686,4.204006553753978,2.1098607199133643,3.810937340786952,7.1004108751651875,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_inner6/grnn,
dual_sensor_models_same_split,validation_inner6,extra_trees,0.9393248467123596,0.7423852116449648,1.024754641175556,0.4393914599448456,2.638836315265771,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_inner6/extra_trees,
dual_sensor_models_same_split,validation_split1,improved_mlp,0.6723216564642939,0.6426431886767208,0.6117661013770771,0.4004452122089521,1.241149262244808,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split1/improved_mlp,reference improved MLP
dual_sensor_models_same_split,validation_split1,plain_mlp,0.7940306755160466,0.606232593790579,0.8746983026102023,0.3888851261170561,2.1651319101109863,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split1/plain_mlp,
dual_sensor_models_same_split,validation_split1,grnn,4.2149340210890305,4.378312350400709,2.6588267666466727,3.462695867350071,6.047562497331578,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split1/grnn,
dual_sensor_models_same_split,validation_split1,extra_trees,1.0432632162489042,0.8537274842032161,1.0614132344255152,0.5514004154358068,2.393598780801993,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split1/extra_trees,
dual_sensor_models_same_split,validation_split7,improved_mlp,0.6691763162601123,0.5316773882791813,0.6749384992186035,0.3486376454730277,1.5130836949016693,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split7/improved_mlp,reference improved MLP
dual_sensor_models_same_split,validation_split7,plain_mlp,0.6930214583996793,0.7014039204689914,0.7269731089843777,0.338589131300247,1.595554959383769,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split7/plain_mlp,
dual_sensor_models_same_split,validation_split7,grnn,3.544644448124035,3.183883199217415,2.3508236861972143,2.9225771318661007,5.8799181089773205,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split7/grnn,
dual_sensor_models_same_split,validation_split7,extra_trees,0.9827287387793412,0.9245305782522591,1.0984636711924902,0.4325312004917322,2.81094180429985,23,../03_detailed_baseline_results/02_same_split_dual_sensor_model_comparison/validation_split7/extra_trees,
